Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,56.555,57.089,57.442,58.472,59.073,59.588,60.123,60.804,61.428,61.791,62.283,62.852,63.344,63.814,64.009,64.178,64.64,65.606,65.942,66.144,64.656,64.079,67.236,67.536,67.812,..
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,53.463,53.941,54.986,55.849,56.519,56.88,56.974,57.122,57.984,58.681,59.097,59.625,60.099,60.534,60.495,60.363,60.661,59.388,59.175,59.91,58.455,57.052,63.941,64.467,64.704,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,66.289,..
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,10.16585658,9.429711799,8.726102573,8.285214811,7.96922961,7.322439132,6.922398758,6.624822735,5.928456221,5.662838901,5.37961634,4.928069917,4.700580597,4.445332598,4.210667257,4.07603205,3.775891203,3.469739365,3.246425381,3.042626181,3.135944126,3.214479748,2.667379533,2.469342191,..,..
Afghanistan,AFG,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,10,11,11,12,13,14,14,15,17,18,19,20,21,22,24,25,26,29,31,33,32,31,37,40,..,..
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.926,78.031,78.142,78.329,78.753,79.303,79.943,80.584,81.076,81.282,81.108,80.916,80.589,80.387,80.267,80.451,80.625,80.795,81.001,81.06,80.345,79.002,80.781,81.446,81.593,..
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.804,72.204,72.529,72.864,73.242,73.663,74.183,74.922,75.531,75.842,75.825,75.792,75.66,75.666,75.83,76.281,76.662,76.997,77.448,77.834,75.429,74.742,76.751,77.728,77.924,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,79.776,..
Albania,ALB,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.032641673,0.028715771,0.025599915,0.024853979,0.022377513,0.019948671,0.017448441,0.015288576,0.013999553,0.013672788,0.013682739,0.013859925,0.01491516,0.015507611,0.015177925,0.01368383,0.012210709,0.010972827,0.009933057,0.009544099,0.009343286,0.018432445,0.010569797,0.00909171,..,..
Albania,ALB,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,3064,3482,3906,4024,4469,5013,5731,6541,7143,7314,7308,7215,6705,6448,6589,7308,8190,9113,10067,10478,10703,5425,9461,10999,..,..
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.944,72.295,72.842,73.027,73.642,73.962,74.283,74.556,74.827,75.074,75.319,75.547,75.769,75.986,76.183,76.377,76.57,76.75,76.928,77.091,74.943,76.65,77.592,77.696,77.912,..
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.289,69.823,70.505,70.837,71.478,71.76,72.003,72.192,72.464,72.721,73.017,73.266,73.493,73.68,73.85,73.992,74.106,74.177,74.255,74.35,71.733,73.845,74.74,74.895,75.096,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.576,71.025,71.644,71.906,72.536,72.836,73.116,73.346,73.618,73.871,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,76.475,..
Algeria,DZA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.296620202,0.267369077,0.233286423,0.233688562,0.215456876,0.212823126,0.213924875,0.219045117,0.226544344,0.229215557,0.23133212,0.231053351,0.242171722,0.241709114,0.249138388,0.246525111,0.243339941,0.237931255,0.22582653,0.215050466,0.274746583,0.215206654,0.169460981,0.157896059,..,..
